Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
108,Nathaniel Clyne,eng ENG,DF,Liverpool,25,1991,37,37,3323,36.9,0.00,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches,0442183b
109,Séamus Coleman,ie IRL,DFMF,Everton,27,1988,26,26,2316,25.7,0.16,0.12,0.27,0.16,0.00,0.00,0.12,0.00,0.16,0.12,0.27,0.16,0.27,Matches,0420d84f
110,James Collins,wls WAL,DF,West Ham,32,1983,22,19,1655,18.4,0.11,0.00,0.11,0.11,0.00,0.00,0.16,0.00,0.11,0.00,0.11,0.11,0.11,Matches,c61f1719
111,Lewis Cook,eng ENG,MF,Bournemouth,19,1997,6,4,432,4.8,0.00,0.21,0.21,0.00,0.00,0.00,0.21,0.00,0.00,0.21,0.21,0.00,0.21,Matches,2afc7272
112,Steve Cook,eng ENG,DF,Bournemouth,25,1991,38,38,3420,38.0,0.05,0.00,0.05,0.05,0.00,0.00,0.13,0.00,0.05,0.00,0.05,0.05,0.05,Matches,3e5e4e63
113,Francis Coquelin,fr FRA,MF,Arsenal,25,1991,29,22,1779,19.8,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a6951bf8
114,Jack Cork,eng ENG,MF,Swansea City,27,1989,30,25,2232,24.8,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.00,0.00,0.00,0.00,0.00,Matches,74e12f1e
115,Diego Costa,es ESP,FW,Chelsea,27,1988,35,35,3082,34.2,0.58,0.20,0.79,0.58,0.00,0.03,0.29,0.00,0.58,0.20,0.79,0.58,0.79,Matches,a190d597
116,Thibaut Courtois,be BEL,GK,Chelsea,24,1992,36,36,3240,36.0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,Matches,1840e36d
117,Philippe Coutinho,br BRA,FWMF,Liverpool,24,1992,31,28,2227,24.7,0.53,0.32,0.85,0.53,0.00,0.00,0.08,0.00,0.53,0.32,0.85,0.53,0.85,Matches,0ef89a37
118,Aaron Cresswell,eng ENG,DFMF,West Ham,26,1989,26,24,2116,23.5,0.00,0.09,0.09,0.00,0.00,0.00,0.13,0.09,0.00,0.09,0.09,0.00,0.09,Matches,4f974391
119,Peter Crouch,eng ENG,FW,Stoke City,35,1981,27,13,1343,14.9,0.47,0.13,0.60,0.47,0.00,0.00,0.20,0.00,0.47,0.13,0.60,0.47,0.60,Matches,73d9bdc7
120,Charlie Daniels,eng ENG,DF,Bournemouth,29,1986,34,34,3060,34.0,0.12,0.09,0.21,0.12,0.00,0.00,0.03,0.00,0.12,0.09,0.21,0.12,0.21,Matches,9d107085
121,Scott Dann,eng ENG,DF,Crystal Palace,29,1987,23,19,1797,20.0,0.15,0.05,0.20,0.15,0.00,0.00,0.10,0.00,0.15,0.05,0.20,0.15,0.20,Matches,52105203
122,Matteo Darmian,it ITA,DF,Manchester Utd,26,1989,18,15,1333,14.8,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,Matches,96e0490d
123,Ben Davies,wls WAL,DFMF,Tottenham,23,1993,23,18,1739,19.3,0.05,0.16,0.21,0.05,0.00,0.00,0.05,0.00,0.05,0.16,0.21,0.05,0.21,Matches,44781702
124,Curtis Davies,eng ENG,DF,Hull City,31,1985,26,25,2135,23.7,0.00,0.08,0.08,0.00,0.00,0.00,0.17,0.00,0.00,0.08,0.08,0.00,0.08,Matches,607fb965
125,Tom Davies,eng ENG,MF,Everton,18,1998,24,18,1544,17.2,0.12,0.17,0.29,0.12,0.00,0.00,0.23,0.00,0.12,0.17,0.29,0.12,0.29,Matches,9228b07c
126,Steven Davis,nir NIR,MF,Southampton,31,1985,32,29,2643,29.4,0.00,0.10,0.10,0.00,0.00,0.00,0.10,0.00,0.00,0.10,0.10,0.00,0.10,Matches,cf15bbb1
127,Craig Dawson,eng ENG,DF,West Brom,26,1990,37,37,3276,36.4,0.11,0.00,0.11,0.11,0.00,0.00,0.27,0.00,0.11,0.00,0.11,0.11,0.11,Matches,3e9e06cb
128,Michael Dawson,eng ENG,DF,Hull City,32,1983,22,19,1722,19.1,0.16,0.00,0.16,0.16,0.00,0.00,0.21,0.00,0.16,0.00,0.16,0.16,0.16,Matches,4771114f
129,Kevin De Bruyne,be BEL,MF,Manchester City,25,1991,36,33,2877,32.0,0.19,0.53,0.72,0.19,0.00,0.03,0.13,0.00,0.19,0.53,0.72,0.19,0.72,Matches,e46012d4
130,Mathieu Debuchy,fr FRA,DF,Arsenal,31,1985,1,1,15,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,92232aad
131,Troy Deeney,eng ENG,FW,Watford,28,1988,37,31,2944,32.7,0.31,0.12,0.43,0.21,0.09,0.09,0.21,0.00,0.31,0.12,0.43,0.21,0.34,Matches,82e34b69
132,Jermain Defoe,eng ENG,FW,Sunderland,33,1982,37,37,3321,36.9,0.41,0.05,0.46,0.27,0.14,0.14,0.03,0.00,0.41,0.05,0.46,0.27,0.33,Matches,f1e8372d
133,Steven Defour,be BEL,MF,Burnley,28,1988,21,16,1068,11.9,0.08,0.25,0.34,0.08,0.00,0.00,0.08,0.00,0.08,0.25,0.34,0.08,0.34,Matches,73489527
134,Damien Delaney,ie IRL,DF,Crystal Palace,35,1981,30,21,2014,22.4,0.00,0.09,0.09,0.00,0.00,0.00,0.36,0.00,0.00,0.09,0.09,0.00,0.09,Matches,210d9ecb
135,Fabian Delph,eng ENG,MF,Manchester City,26,1989,7,2,224,2.5,0.40,0.00,0.40,0.40,0.00,0.00,0.40,0.00,0.40,0.00,0.40,0.40,0.40,Matches,111c3236
136,Mousa Dembélé,be BEL,MF,Tottenham,29,1987,30,24,2056,22.8,0.04,0.04,0.09,0.04,0.00,0.00,0.22,0.00,0.04,0.04,0.09,0.04,0.09,Matches,f7ee69fb
137,Jason Denayer,be BEL,MFDF,Sunderland,21,1995,24,22,1877,20.9,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,Matches,47af88b8
138,Mike van der Hoorn,nl NED,DF,Swansea City,23,1992,8,7,662,7.4,0.14,0.00,0.14,0.14,0.00,0.00,0.14,0.00,0.14,0.00,0.14,0.14,0.14,Matches,25f50295
139,Gerard Deulofeu,es ESP,FWMF,Everton,22,1994,11,4,460,5.1,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,Matches,39583cfd
140,Eric Dier,eng ENG,DFMF,Tottenham,22,1994,36,34,3043,33.8,0.06,0.03,0.09,0.06,0.00,0.00,0.18,0.00,0.06,0.03,0.09,0.06,0.09,Matches,ac861941
141,Adama Diomande,no NOR,FWMF,Hull City,26,1990,22,13,1171,13.0,0.15,0.00,0.15,0.15,0.00,0.00,0.08,0.00,0.15,0.00,0.15,0.15,0.15,Matches,336dbcb2
142,Papy Djilobodji,sn SEN,DF,Sunderland,27,1988,18,17,1578,17.5,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.11,0.00,0.00,0.00,0.00,0.00,Matches,083525e5
143,Abdoulaye Doucouré,ml MLI,MF,Watford,23,1993,20,14,1361,15.1,0.07,0.00,0.07,0.07,0.00,0.00,0.26,0.00,0.07,0.00,0.07,0.07,0.07,Matches,02b29014
144,Stewart Downing,eng ENG,MFFW,Middlesbrough,32,1984,30,24,2214,24.6,0.04,0.12,0.16,0.04,0.00,0.00,0.04,0.00,0.04,0.12,0.16,0.04,0.16,Matches,b13c4620
145,Danny Drinkwater,eng ENG,MF,Leicester City,26,1990,29,27,2466,27.4,0.04,0.07,0.11,0.04,0.00,0.00,0.22,0.00,0.04,0.07,0.11,0.04,0.11,Matches,2649ff32
146,Nathan Dyer,eng ENG,MFFW,Swansea City,28,1987,8,3,214,2.4,0.00,0.42,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.42,0.00,0.42,Matches,6dfd5af0
147,Ovie Ejaria,eng ENG,FWMF,Liverpool,18,1997,2,0,8,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a801669e
148,Omar Elabdellaoui,no NOR,DFMF,Hull City,24,1991,8,7,615,6.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,4f56170e
149,Andrew Eleftheriou,eng ENG,DF,Watford,18,1997,1,0,52,0.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0878b548
150,Ahmed Elmohamady,eg EGY,DFMF,Hull City,28,1987,33,28,2524,28.0,0.00,0.07,0.07,0.00,0.00,0.00,0.11,0.04,0.00,0.07,0.07,0.00,0.07,Matches,615ef733
151,Mohamed Elneny,eg EGY,MF,Arsenal,24,1992,14,8,694,7.7,0.00,0.13,0.13,0.00,0.00,0.00,0.13,0.00,0.00,0.13,0.13,0.00,0.13,Matches,47a34c4f
152,Christian Eriksen,dk DEN,MF,Tottenham,24,1992,36,36,3157,35.1,0.23,0.43,0.66,0.23,0.00,0.00,0.00,0.00,0.23,0.43,0.66,0.23,0.66,Matches,980522ec
153,Bernardo Espinosa,co COL,DF,Middlesbrough,27,1989,11,10,975,10.8,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,Matches,4242011c
154,Jonny Evans,nir NIR,DF,West Brom,28,1988,31,30,2637,29.3,0.07,0.07,0.14,0.07,0.00,0.00,0.27,0.00,0.07,0.07,0.14,0.07,0.14,Matches,f8fcd2a5
155,Łukasz Fabiański,pl POL,GK,Swansea City,31,1985,37,37,3330,37.0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,Matches,9328b835
156,Fábio,br BRA,DF,Middlesbrough,26,1990,24,21,1847,20.5,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.00,Matches,bc7b4580
157,Cesc Fàbregas,es ESP,MF,Chelsea,29,1987,29,13,1339,14.9,0.34,0.81,1.14,0.34,0.00,0.00,0.54,0.00,0.34,0.81,1.14,0.34,1.14,Matches,33508c78
158,Adam Federici,au AUS,GK,Bournemouth,31,1985,2,2,180,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e5ea8be7
159,Sofiane Feghouli,dz ALG,MFFW,West Ham,26,1989,21,11,1041,11.6,0.26,0.17,0.43,0.26,0.00,0.00,0.09,0.09,0.26,0.17,0.43,0.26,0.43,Matches,691f64f5
160,Marouane Fellaini,be BEL,MF,Manchester Utd,28,1987,28,18,1605,17.8,0.06,0.00,0.06,0.06,0.00,0.00,0.51,0.06,0.06,0.00,0.06,0.06,0.06,Matches,87575fd9
161,Leroy Fer,nl NED,MF,Swansea City,26,1990,34,27,2404,26.7,0.22,0.07,0.30,0.22,0.00,0.00,0.34,0.00,0.22,0.07,0.30,0.22,0.30,Matches,3cefa66a
162,Edimilson Fernandes,ch SUI,MF,West Ham,20,1996,28,8,1001,11.1,0.00,0.09,0.09,0.00,0.00,0.00,0.36,0.00,0.00,0.09,0.09,0.00,0.09,Matches,3bb625ac
163,Federico Fernández,ar ARG,DF,Swansea City,27,1989,27,27,2430,27.0,0.00,0.07,0.07,0.00,0.00,0.00,0.26,0.00,0.00,0.07,0.07,0.00,0.07,Matches,f25b010f
164,Fernandinho,br BRA,MFDF,Manchester City,31,1985,32,31,2756,30.6,0.07,0.03,0.10,0.07,0.00,0.00,0.13,0.07,0.07,0.03,0.10,0.07,0.10,Matches,101da2b5
165,Fernando,br BRA,MFDF,Manchester City,29,1987,15,5,568,6.3,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.00,Matches,41f32541
166,Sam Field,eng ENG,MF,West Brom,18,1998,8,4,275,3.1,0.00,0.00,0.00,0.00,0.00,0.00,0.65,0.00,0.00,0.00,0.00,0.00,0.00,Matches,bd8a7d05
167,Roberto Firmino,br BRA,FW,Liverpool,24,1991,35,34,3062,34.0,0.32,0.21,0.53,0.32,0.00,0.00,0.15,0.00,0.32,0.21,0.53,0.32,0.53,Matches,4c370d81
168,Viktor Fischer,dk DEN,FWMF,Middlesbrough,22,1994,13,6,438,4.9,0.00,0.61,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.62,0.62,0.00,0.62,Matches,b5920350
169,Mathieu Flamini,fr FRA,MF,Crystal Palace,32,1984,10,3,274,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,148d4105
170,Jon Flanagan,eng ENG,DF,Burnley,23,1993,6,3,360,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,Matches,f2428fd4
171,Ashley Fletcher,eng ENG,FW,West Ham,20,1995,16,2,367,4.1,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.00,0.00,0.00,0.00,0.00,0.00,Matches,eeb6551f
172,Darren Fletcher,sct SCO,MF,West Brom,32,1984,38,37,3231,35.9,0.06,0.08,0.14,0.06,0.00,0.00,0.00,0.00,0.06,0.08,0.14,0.06,0.14,Matches,184e4970
173,Michael Folivi,eng ENG,FW,Watford,18,1998,1,0,10,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a7b41270
174,José Fonte,pt POR,DF,Southampton,32,1983,17,17,1530,17.0,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,Matches,90f87966
175,José Fonte,pt POR,DF,West Ham,32,1983,16,16,1404,15.6,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,Matches,90f87966
176,Adam Forshaw,eng ENG,MF,Middlesbrough,24,1991,34,30,2695,29.9,0.00,0.03,0.03,0.00,0.00,0.00,0.13,0.00,0.00,0.03,0.03,0.00,0.03,Matches,9f1938ab
177,Fraser Forster,eng ENG,GK,Southampton,28,1988,38,38,3420,38.0,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c3e39f12
178,Ben Foster,eng ENG,GK,West Brom,33,1983,38,38,3420,38.0,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d0b3ceb9
179,Timothy Fosu-Mensah,nl NED,DF,Manchester Utd,18,1998,4,1,97,1.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a9142dc3
180,Simon Francis,eng ENG,DF,Bournemouth,31,1985,34,34,2939,32.7,0.00,0.03,0.03,0.00,0.00,0.00,0.12,0.03,0.00,0.03,0.03,0.00,0.03,Matches,1e0b6a73
181,Ryan Fraser,sct SCO,MF,Bournemouth,22,1994,28,19,1764,19.6,0.15,0.26,0.41,0.15,0.00,0.00,0.15,0.00,0.15,0.26,0.41,0.15,0.41,Matches,d56543a0
182,George Friend,eng ENG,DF,Middlesbrough,28,1987,24,20,1964,21.8,0.00,0.09,0.09,0.00,0.00,0.00,0.18,0.00,0.00,0.09,0.09,0.00,0.09,Matches,4f97147d
183,Zeki Fryers,eng ENG,DF,Crystal Palace,23,1992,8,0,188,2.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,f58d6213
184,Christian Fuchs,at AUT,DF,Leicester City,30,1986,36,35,3103,34.5,0.06,0.09,0.14,0.06,0.00,0.00,0.29,0.00,0.06,0.09,0.15,0.06,0.15,Matches,a67a09fb
185,Jay Fulton,sct SCO,MF,Swansea City,22,1994,11,9,690,7.7,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.00,0.00,Matches,434ad289
186,Ramiro Funes Mori,ar ARG,DF,Everton,25,1991,23,16,1543,17.1,0.00,0.06,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches,89cbc961
187,Manolo Gabbiadini,it ITA,FW,Southampton,24,1991,11,10,724,8.0,0.50,0.00,0.50,0.50,0.00,0.13,0.13,0.00,0.50,0.00,0.50,0.50,0.50,Matches,8f866fe8
188,Brendan Galloway,zw ZIM,DF,West Brom,20,1996,3,3,247,2.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,321506b3
189,Idrissa Gana Gueye,sn SEN,MF,Everton,26,1989,33,32,2681,29.8,0.03,0.03,0.07,0.03,0.00,0.00,0.37,0.00,0.03,0.03,0.07,0.03,0.07,Matches,72c812f3
190,Aleix García,es ESP,MF,Manchester City,19,1997,4,1,77,0.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a10361d2
191,Craig Gardner,eng ENG,MF,West Brom,29,1986,9,2,218,2.4,0.00,0.42,0.42,0.00,0.00,0.00,0.42,0.00,0.00,0.41,0.41,0.00,0.41,Matches,1117b9ff
192,David de Gea,es ESP,GK,Manchester Utd,25,1990,35,35,3150,35.0,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7ba6d84e
193,Rudy Gestede,bj BEN,FW,Middlesbrough,27,1988,16,4,533,5.9,0.17,0.00,0.17,0.17,0.00,0.00,0.51,0.00,0.17,0.00,0.17,0.17,0.17,Matches,822b3ef9
194,Kieran Gibbs,eng ENG,MFDF,Arsenal,26,1989,11,8,702,7.8,0.00,0.13,0.13,0.00,0.00,0.00,0.38,0.00,0.00,0.13,0.13,0.00,0.13,Matches,46ee5234
195,Ben Gibson,eng ENG,DF,Middlesbrough,23,1993,38,38,3420,38.0,0.03,0.03,0.05,0.03,0.00,0.00,0.11,0.00,0.03,0.03,0.05,0.03,0.05,Matches,bcfb0142
196,Darron Gibson,ie IRL,MF,Sunderland,28,1987,12,7,640,7.1,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.00,0.00,0.00,0.00,0.00,0.00,Matches,f0e72e1c
197,Olivier Giroud,fr FRA,FW,Arsenal,29,1986,29,11,1206,13.4,0.90,0.22,1.12,0.90,0.00,0.00,0.15,0.00,0.90,0.22,1.12,0.90,1.12,Matches,16ceb862
198,Shay Given,ie IRL,GK,Stoke City,40,1976,5,5,450,5.0,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0db918ff
199,Evandro Goebel,br BRA,MF,Hull City,29,1986,11,7,576,6.4,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,Matches,67dbadfc
200,Angel Gomes,eng ENG,FWMF,Manchester Utd,15,2000,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,645a3363
201,Heurelho Gomes,br BRA,GK,Watford,35,1981,38,38,3337,37.1,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d596e193
202,Lynden Gooch,us USA,MF,Sunderland,20,1995,11,4,366,4.1,0.00,0.00,0.00,0.00,0.00,0.00,0.73,0.00,0.00,0.00,0.00,0.00,0.00,Matches,1ea00b03
203,Dan Gosling,eng ENG,MF,Bournemouth,26,1990,27,14,1366,15.2,0.13,0.00,0.13,0.13,0.00,0.00,0.39,0.00,0.13,0.00,0.13,0.13,0.13,Matches,7fec31a0
204,Lewis Grabban,eng ENG,FWMF,Bournemouth,28,1988,3,0,60,0.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,1a857282
205,Max Gradel,ci CIV,FWMF,Bournemouth,28,1987,11,0,134,1.5,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c5a500ca
206,Lee Grant,eng ENG,GK,Stoke City,33,1983,28,28,2520,28.0,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,Matches,9dab6e3b
207,Andre Gray,jm JAM,FW,Burnley,25,1991,32,26,2259,25.1,0.36,0.12,0.48,0.28,0.08,0.08,0.08,0.00,0.36,0.12,0.48,0.28,0.40,Matches,c24dba2a
208,Demarai Gray,eng ENG,MFFW,Leicester City,20,1996,30,9,1049,11.7,0.09,0.26,0.34,0.09,0.00,0.00,0.17,0.00,0.09,0.26,0.34,0.09,0.34,Matches,4468ec10
209,Kamil Grosicki,pl POL,MF,Hull City,28,1988,15,12,1143,12.7,0.00,0.24,0.24,0.00,0.00,0.00,0.08,0.00,0.00,0.24,0.24,0.00,0.24,Matches,81d8091f
210,Marko Grujić,rs SRB,MF,Liverpool,20,1996,5,0,43,0.5,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8b8e759d
211,Adlène Guedioura,dz ALG,MF,Watford,30,1985,12,9,721,8.0,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,Matches,f75825e3
212,Adlène Guedioura,dz ALG,MF,Middlesbrough,30,1985,5,0,140,1.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,f75825e3
213,İlkay Gündoğan,de GER,MF,Manchester City,25,1990,10,9,704,7.8,0.38,0.13,0.51,0.38,0.00,0.00,0.00,0.00,0.38,0.13,0.51,0.38,0.51,Matches,819b3158
214,Brad Guzan,us USA,GK,Middlesbrough,31,1984,10,10,900,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d899e3bf
215,Josh Harrop,eng ENG,FW,Manchester Utd,20,1995,1,1,90,1.0,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,Matches,00e1cf8f
